route_id,total_stops,planned_distance,actual_distance,deviation_count,sla_violation_count,route_start_time,route_end_time,distance_deviation,distance_efficiency_ratio,route_duration,sla_violation_rate,deviation_rate,driver_id,week_id,country,is_inefficient_route,has_sla_violation,high_deviation_route,positive_deviation_route,distance_efficiency_bucket,sla_risk_level,distance_loss_per_stop
40,14,34.87495564,34.87495564,0,1,201.426,690.343,0.0,1.0,488.917,0.07142857142857142,0.0,40,0,0,0,1,0,0,efficient,low,0.0
41,16,60.447306491,53.730731279,9,4,262.321,658.257,-6.716575212000002,0.888885450785139,395.9359999999999,0.25,0.5625,41,0,1,0,1,1,1,efficient,high,-0.41978595075000014
42,18,28.484186285,23.447285775999998,12,2,267.776,650.277,-5.036900509000002,0.823168530826086,382.50100000000003,0.1111111111111111,0.6666666666666666,42,0,1,0,1,1,1,efficient,low,-0.2798278060555557
43,17,17.970216343,17.807227459,13,1,269.498,574.624,-0.16298888400000067,0.9909300544362399,305.12600000000003,0.058823529411764705,0.7647058823529411,43,0,1,0,1,1,1,efficient,low,-0.009587581411764745
44,4,44.583539247999994,44.583539247999994,0,0,92.319,307.871,0.0,1.0,215.55199999999996,0.0,0.0,44,0,0,0,0,0,0,efficient,none,0.0
45,10,54.854756098,54.854756098,0,0,217.543,584.743,0.0,1.0,367.20000000000005,0.0,0.0,45,0,0,0,0,0,0,efficient,none,0.0
46,12,25.210605432,24.454319535,11,2,286.488,546.419,-0.7562858970000015,0.9700012798566098,259.931,0.16666666666666666,0.9166666666666666,46,0,1,0,1,1,1,efficient,low,-0.06302382475000012
47,8,73.582892324,71.723486851,4,4,287.218,622.048,-1.8594054729999954,0.9747304649997629,334.83,0.5,0.5,47,0,1,0,1,0,1,efficient,high,-0.23242568412499942
48,22,25.06221074,23.51289713,14,4,287.572,651.146,-1.5493136100000022,0.938181287114977,363.57399999999996,0.18181818181818182,0.6363636363636364,48,0,1,0,1,1,1,efficient,low,-0.07042334590909101
49,8,133.626045857,138.792411977,2,6,170.702,941.509,5.166366119999992,1.0386628676083762,770.807,0.75,0.25,49,0,0,0,1,0,0,slightly inefficient,high,0.645795764999999
50,19,74.459668287,75.67781133999999,16,4,238.514,1710.218,1.2181430529999915,1.0163597700745153,1471.7040000000002,0.21052631578947367,0.8421052631578947,50,0,0,0,1,1,0,slightly inefficient,high,0.06411279226315744
51,6,24.104936955,24.104936955,0,6,600.667,861.686,0.0,1.0,261.019,1.0,0.0,51,0,1,0,1,0,0,efficient,high,0.0
52,19,18.518097411,15.263191293,17,1,302.078,604.764,-3.254906117999999,0.8242310726766919,302.68600000000004,0.05263157894736842,0.8947368421052632,52,0,1,0,1,1,1,efficient,low,-0.17131084831578944
53,17,30.531784316,32.379799903,14,3,302.391,780.886,1.848015586999999,1.0605275986451783,478.49499999999995,0.17647058823529413,0.8235294117647058,53,0,1,0,1,1,0,slightly inefficient,low,0.10870679923529405
54,14,22.470953401,22.470953401,2,0,247.984,568.808,0.0,1.0,320.82399999999996,0.0,0.14285714285714285,54,0,0,0,0,0,0,efficient,none,0.0
55,21,22.504444751,24.037844717,13,1,309.979,712.423,1.5333999659999975,1.0681376493828785,402.444,0.047619047619047616,0.6190476190476191,55,0,1,0,1,1,0,slightly inefficient,low,0.07301904599999988
56,11,20.052191766,20.273150046999998,2,8,319.26,544.927,0.22095828099999792,1.0110191585826867,225.66700000000003,0.7272727272727273,0.18181818181818182,56,0,1,0,1,0,0,slightly inefficient,high,0.020087116454545265
57,5,30.54629977,30.54629977,0,0,263.455,483.696,0.0,1.0,220.24100000000004,0.0,0.0,57,0,0,0,0,0,0,efficient,none,0.0
58,11,64.883329506,65.397508406,2,0,264.551,689.928,0.5141789000000045,1.007924668846602,425.377,0.0,0.18181818181818182,58,0,0,0,0,0,0,slightly inefficient,none,0.046743536363636776
59,25,23.170536289,26.391486317,22,1,32.148,329.275,3.220950027999997,1.1390105946546052,297.12699999999995,0.04,0.88,59,0,1,1,1,1,0,slightly inefficient,low,0.12883800111999988
60,10,61.492303548,61.492303548,2,1,272.376,652.527,0.0,1.0,380.15100000000007,0.1,0.2,60,0,0,0,1,0,0,efficient,low,0.0
61,18,72.261184342,129.506298883,15,0,332.969,638.592,57.24511454099999,1.7921972918416131,305.623,0.0,0.8333333333333334,61,0,1,1,0,1,0,highly inefficient,none,3.1802841411666662
62,15,94.893262335,60.443774984,11,3,276.664,765.412,-34.449487351,0.6369659288413587,488.74800000000005,0.2,0.7333333333333333,62,0,0,0,1,1,1,efficient,low,-2.2966324900666666
63,19,37.828259106000004,36.005201956,9,1,282.011,705.947,-1.823057150000004,0.9518070037298956,423.936,0.05263157894736842,0.47368421052631576,63,0,0,0,1,0,1,efficient,low,-0.09595037631578968
64,4,33.956986438,33.956986438,2,0,169.941,337.315,0.0,1.0,167.374,0.0,0.5,64,0,0,0,0,0,0,efficient,none,0.0
65,4,72.285506322,72.285506322,0,0,291.257,547.815,0.0,1.0,256.55800000000005,0.0,0.0,65,0,0,0,0,0,0,efficient,none,0.0
66,11,28.129819501,28.129819501,0,0,294.23,576.066,0.0,1.0,281.836,0.0,0.0,66,0,0,0,0,0,0,efficient,none,0.0
67,17,43.116449642,49.733806996000006,14,13,363.961,892.73,6.617357354000006,1.153476397267042,528.769,0.7647058823529411,0.8235294117647058,67,0,1,1,1,1,0,slightly inefficient,high,0.38925631494117685
68,3,38.88062368,38.88062368,0,0,185.534,443.34,0.0,1.0,257.806,0.0,0.0,68,0,0,0,0,0,0,efficient,none,0.0
69,3,54.757337903,85.91872414,2,0,248.389,535.691,31.161386236999995,1.5690814679888365,287.302,0.0,0.6666666666666666,69,0,0,1,0,1,0,highly inefficient,none,10.387128745666665
70,4,60.64836459,60.64836459,0,0,249.487,498.885,0.0,1.0,249.398,0.0,0.0,70,0,0,0,0,0,0,efficient,none,0.0
71,9,82.659187933,82.659187933,0,0,318.801,705.187,0.0,1.0,386.386,0.0,0.0,71,0,0,0,0,0,0,efficient,none,0.0
72,15,30.991983251,44.617626165000004,9,0,81.135,308.578,13.625642914000004,1.4396505639425432,227.44299999999998,0.0,0.6,72,0,1,1,0,1,0,highly inefficient,none,0.9083761942666669
73,5,24.636350465,24.636350465,0,0,263.299,504.928,0.0,1.0,241.62900000000002,0.0,0.0,73,0,0,0,0,0,0,efficient,none,0.0
74,10,195.32947285,89.495079289,8,1,324.234,692.873,-105.834393561,0.45817499009853085,368.63900000000007,0.1,0.8,74,0,0,0,1,1,1,efficient,low,-10.5834393561
75,15,47.459822343,37.892653775,4,0,88.753,331.509,-9.567168568,0.7984154154885686,242.75600000000003,0.0,0.26666666666666666,75,0,1,0,0,0,1,efficient,none,-0.6378112378666666
76,3,113.29129485,113.29129485,0,2,334.404,853.731,0.0,1.0,519.327,0.6666666666666666,0.0,76,0,0,0,1,0,0,efficient,high,0.0
77,6,68.713808416,68.713808416,0,2,278.22,592.87,0.0,1.0,314.65,0.3333333333333333,0.0,77,0,0,0,1,0,0,efficient,high,0.0
78,12,163.956547273,148.166637399,6,2,342.295,809.142,-15.789909874000017,0.9036945450692577,466.84700000000004,0.16666666666666666,0.5,78,0,0,0,1,0,1,efficient,low,-1.3158258228333348
79,12,13.307479312,13.309966486,4,0,102.818,232.02,0.002487174000000536,1.0001869004596353,129.202,0.0,0.3333333333333333,79,0,1,0,0,0,0,slightly inefficient,none,0.00020726450000004468
80,7,80.373949912,80.373949912,0,0,292.681,484.675,0.0,1.0,191.99400000000003,0.0,0.0,80,0,0,0,0,0,0,efficient,none,0.0
81,3,76.91485106,76.91485106,0,0,57.027,310.555,0.0,1.0,253.52800000000002,0.0,0.0,81,0,0,0,0,0,0,efficient,none,0.0
82,8,46.691528844000004,43.786966097000004,2,1,304.234,503.957,-2.904562747,0.9377925114274076,199.723,0.125,0.25,82,0,0,0,1,0,1,efficient,low,-0.363070343375
83,3,8.919447990999998,8.919447990999998,0,0,313.815,394.297,0.0,1.0,80.48200000000003,0.0,0.0,83,0,0,0,0,0,0,efficient,none,0.0
84,3,79.266907516,79.266907516,0,0,165.422,452.417,0.0,1.0,286.995,0.0,0.0,84,0,0,0,0,0,0,efficient,none,0.0
